Event Type,Title,Description,Event Date (UTC),Event Date (Local),Local Timezone,Modified Date (UTC),Location,Distance To Nearest,Nearest Airport,Latitude,Longitude,Woc ID,Database Radial,"Database Distance
Offset","Database Distance
Unit","Extracted Radial
Distance",Extracted Altitude
UFO‐UAP ACTIVITY,DAL1156 UFO‐UAP ACTIVITY 02‐22‐2023,"PRELIM INFO FROM FAA OPS: BROWNLEE, ID/UFO‐UAP ACTIVITY/2220M/W‐ROC ADVISED DELTA 1156, A319, SLC ‐ VANCOUVER, CANADA (CYVR), PILOTS REPORTED SEEING LIGHTS MOVING IN TRIANGULAR PATTERN AT THE 12 O'CLOCK POSITION AND ABOUT 15 TO 20 DEGREES ABOVE THE HORIZON. LIGHTS WERE MOVING AT A HIGH RATE OF SPEED. REPORTED SEEING AS MANY AS 2 TO 4 LIGHTS. THEY ALSO REPORTED THEM FORMING A LINE. ONE LIGHT GOT REALLY BRIGHT  THEN DISAPPEARED. ACFT WAS AT UNKN ALTITUDE VCNTY OF THE BROWNLEE RESERVOIR. WOC 7‐3333
HM/JO",2/22/2023 5:20,2/21/2023 22:20,‐07 MST,2/22/2023 6:10,"BROWNLEE,ID",10.205252,ID95,44.0087789,‐116.245407,666539,0,0,mi,,
UFO‐UAP ACTIVITY,UAL1325 UFO‐UAP ACTIVITY 02‐22‐2023,"PRELIM INFO FROM FAA OPS: BROWNLEE, ID/UFO‐UAP ACTIVITY/2220M/W‐ROC ADVISED UNITED 1325, B739, DEN ‐ PDX, PILOTS REPORTED SEEING LIGHTS MOVING IN TRIANGULAR PATTERN AT THE 12 O'CLOCK POSITION AND ABOUT 15 TO 20 DEGREES ABOVE THE HORIZON. LIGHTS WERE MOVING AT A HIGH RATE OF SPEED. REPORTED SEEING AS MANY AS 2 TO 4 LIGHTS. THEY ALSO REPORTED THEM FORMING A LINE. ONE LIGHT GOT REALLY BRIGHT THEN DISAPPEARED. ACFT WAS AT UNKN ALTITUDE VCNTY OF THE BROWNLEE RESERVOIR. WOC 7‐3333 HM/JO",2/22/2023 5:20,2/21/2023 22:20,‐07 MST,2/22/2023 6:13,"BROWNLEE,ID",10.205252,ID95,44.0087789,‐116.245407,666540,0,0,mi,,
UFO‐UAP ACTIVITY,UPS598 UFO‐UAP ACTIVITY 02‐22‐2023,"PRELIM INFO FROM FAA OPS: PROVO, UT/UFO‐UAP ACTIVITY/0340M/PROVO FCT ADVISED UPS 598, B752, ONT ‐ BIL, REPORTED SEEING AFTERBURNERS MAKING LATERAL MOVEMENTS FROM ABOVE. PILOT STATED IT APPEARED TO BE MOVING IN ALL DIRECTIONS BUT NOT CIRCLING. ATC DID NOT HAVE EVENT ON RADAR. NO ADDITIONAL INFORMATION PROVIDED. WOC 7‐3333
JB/JG",2/22/2023 10:40,2/22/2023 3:40,‐07 MST,2/22/2023 12:31,"PROVO,UT (PVU)",2.10E‐07,PVU,40.2191667,‐111.7233611,666552,0,0,mi,,
UFO‐UAP ACTIVITY,BLOOD01 UFO‐UAP ACTIVITY 02‐27‐2023,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UFO‐UAP ACTIVITY/1210M/ALBUQUERQUE ARTCC ADVISED  USAF BLOOD01, F35, LUF ‐ LUF, REPORTED A SENSOR AND VISUAL HIT ON AN OBJECT AT THE 2 O'CLOCK POSITION WHILE W BOUND AT 12,500 FEET 68 WNW LUF. PIC COULD NOT IDENTIFY THE OBJECT. THE  OBJECT WAS NE BOUND AT FL185. WOC 7‐3333 HM/BS",2/27/2023 19:10,2/27/2023 12:10,‐07 MST,2/27/2023 19:29,"GLENDALE,AZ (LUF)",4.55625655,AZ01,33.8674302,‐113.4946221,667403,290,68,mi,68 WNW,"12,500
FEET"
UFO‐UAP ACTIVITY,FFT1251 UFO‐UAP ACTIVITY 02‐27‐2023,"OCEANIC AIRSPACE: FFT1251, A20N, MCO‐IAH, OBSERVED AN UNIDENTIFIED OBJECT AT APPROXIMATELY 38,000 FEET 79 MILES WEST OF THE PIE VORTACT. EVASIVE ACTION NOT REPORTED. LAW ENFORCEMENT NOTIFICATION NOT REPORTED.
02/28/2023 0054Z (DELAYED ENTRY)",2/28/2023 0:54,2/27/2023 19:54,‐05 EST,2/28/2023 18:49,"ST PETERSBURG‐ CLEARWATER,FL (PIE)",7.00E‐08,PIE,27.9086336,‐82.68651,667578,0,0,mi,,"38,000
FEET"
UFO‐UAP ACTIVITY,N478CB UFO‐UAP ACTIVITY 02‐27‐2023,"OCEANIC AIRSPACE: N478CB, C560, OBSERVED AN
UNIDENTIFIED OBJECT AT APPROXIMATELY 38,000 FEET 110 MILES WEST OF THE PIE VORTAC. EVASIVE ACTION NOT REPORTED. LAW ENFORCEMENT NOTIFICATION NOT REPORTED. 02/28/2023 0054Z (DELAYED ENTRY)",2/28/2023 0:54,2/28/2023 13:45,‐00 Local,2/28/2023 18:49,"ST PETERSBURG‐ CLEARWATER,FL (PIE)",7.00E‐08,PIE,27.9086336,‐82.68651,667579,0,0,mi,,"38,000
FEET"
UFO‐UAP ACTIVITY,UAL240 UFO‐UAP ACTIVITY 02‐27‐2023,"OCEANIC AIRSPACE: UAL240, B739, MCO‐IAH, OBSERVED AN UNIDENTIFIED OBJECT AT APPROXIMATELY 36,000 FEET 113 MILES WEST OF THE PIE VORTAC. EVASIVE ACTION NOT REPORTED. LAW ENFORCEMENT NOTIFICATION NOT REPORTED.
02/28/2023 0054Z (DELAYED ENTRY)",2/28/2023 0:54,2/28/2023 13:48,‐00 Local,2/28/2023 18:49,"ST PETERSBURG‐ CLEARWATER,FL (PIE)",7.00E‐08,PIE,27.9086336,‐82.68651,667580,0,0,mi,,"36,000
FEET"
UFO‐UAP ACTIVITY,N4200K UFO‐UAP ACTIVITY 02‐27‐2023,"PRELIM INFO FROM FAA OPS: LA BELLE, FL/UFO‐UAP ACTIVITY/2017E/MIAMI ARTCC ADVISED N4200K, CESSNA C560, OPF ‐ HOU, REPORTED VERY BRIGHT LIGHT PASS OFF LEFT WING ESTIMATED 10,000 FEET ABOVE ACFT WHILE W BOUND AT FL400 63 W LA BELLE VORTAC. NO EVASIVE ACTION REPORTED. LEOS NOT NOTIFIED. MULTIPLE ACFT REPORTED SAME INCIDENT.
WOC 7‐3333 DJ/JG",2/28/2023 0:55,2/27/2023 19:55,‐05 EST,2/28/2023 18:40,"LA BELLE,FL",10.5769584,X36,26.8537496,‐82.45301438,667465,276,63,mi,63 W,"10,000
FEET"
UFO‐UAP ACTIVITY,AAL2640 UFO‐UAP ACTIVITY 02‐27‐2023,"PRELIM INFO FROM FAA OPS: LA BELLE, FL/POSSIBLE MEDIA‐UFO‐UAP ACTIVITY/2033E/MIAMI ARTCC ADVISED AMERICAN 2640, A321, PBI ‐ DFW, CAPTURED VIDEO OF UAP WHILE NW BOUND AT FL340 OVER  GULF OF MEXICO. INCIDENT PREVIOUSLY REPORTED BY N4200K. NO EVASIVE ACTION REPORTED. PILOT  STATED THAT HE PLANS TO POST VIDEO ON SOCIAL MEDIA AFTER LANDING DFW. WOC 7‐3333 DJ/JG",2/28/2023 1:33,2/27/2023 20:33,‐05 EST,2/28/2023 1:38,"LA BELLE,FL",14.2833331,FA54,26.758067,‐82.45774775,667467,270,63,mi,,
UFO‐UAP ACTIVITY,ASA421 UFO‐UAP ACTIVITY 02‐28‐2023,"PRELIM INFO FROM FAA OPS: ST PETERSBURG‐ CLEARWATER, FL/UFO‐UAP ACTIVITY/2005E/MIAMI ARTCC ADVISED ALASKA 421, B738, TPA ‐ SFO, REPORTED 2 UAP OFF THE RIGHT SIDE 6,000 FEET ABOVE ACFT WHILE W BOUND AT 8,400 FEET 9 SW ST PETERSBURG‐CLEARWATER. NO EVASIVE ACTION
REPORTED. LEOS NOT NOTIFIED. WOC 7‐3333 DJ/JG",3/1/2023 1:05,2/28/2023 20:05,‐05 EST,3/1/2023 2:51,"ST PETERSBURG‐ CLEARWATER,FL (PIE)",9.0000145,PIE,27.8161736,‐82.79045801,667652,225,9,mi,9 SW,"6,000
FEET,8,40 0 FEET"
UFO‐UAP ACTIVITY,RJA264 UFO‐UAP ACTIVITY 03‐01‐2023,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UFO‐UAP ACTIVITY/1930C/CHICAGO ARTCC ADVISED JORDANIAN 264, B788, ORD ‐ AMMAN, JORDAN (OJAI), REPORTED
2 BRIGHT WHITE LIGHTS WHILE N BOUND AT FL180 25 N ORD. NO EVASIVE ACTION TAKEN. NO LEO
NOTIFICATION REPORTED. WOC 7‐3333 RC/JA",3/2/2023 1:30,3/1/2023 19:30,‐06 CST,3/2/2023 2:03,"CHICAGO,IL (ORD)",6.08706354,UGN,42.3391567,‐87.90814972,667832,0,25,mi,25 N,
UFO‐UAP ACTIVITY,AAL1030 UFO‐UAP ACTIVITY 03‐05‐2023,"PRELIM INFO FROM FAA OPS: DALLAS‐FORT WORTH, TX/UFO‐UAP ACTIVITY/1616C/DALLAS‐FORT WORTH ATCT ADVISED AMERICAN 1030, B789, CANCUN, MEXICO (MMUN) ‐ DFW, REPORTED A JET PACK MAN 500 FEET ABOVE ACFT WHILE S BOUND AT UNKN ALTITUDE ON SHORT FINAL TO RUNWAY 18R. NO EVASIVE ACTION TAKEN. NO IMPACT TO OPERATIONS. NO OTHER SIGHTINGS REPORTED. WOC 7‐3333 HM/BS",3/5/2023 21:59,3/5/2023 15:59,‐06 CST,3/5/2023 22:43,"DALLAS‐FORT WORTH,TX (DFW)",0.5000011,DFW,32.9044887,‐97.03769472,668439,0,0.5,mi,,500 FEET
UFO‐UAP ACTIVITY,N474PE UFO‐UAP ACTIVITY 03‐05‐2023,"PRELIM INFO FROM FAA OPS: RENO, NV/UFO‐UAP ACTIVITY/2045P/OAKLAND ARTCC ADVISED N474PE, CESSNA C560, TRM ‐ UAO, OBSERVED A POSSIBLE UFO WITH GREEN AND BLUE LIGHTS AT FL500 FROM THE LEFT SIDE WHILE AT FL400 20 NNW MUSTANG VORTAC (FMG). NO EVASIVE ACTION TAKEN. LEO NOTIFICATION
NOT REPORTED. WOC 7‐3333 JF/JG",3/6/2023 4:45,3/5/2023 20:45,‐08 PST,3/6/2023 5:01,"RENO,NV (RNO)",6.71799921,NV09,39.7808276,‐120.0021311,668519,330,20,mi,20 NNW,500 F
UFO‐UAP ACTIVITY,USAF SWROD2 UFO‐UAP ACTIVITY 03‐08‐2023,"PRELIM INFO FROM FAA OPS:  LUKE AFB, AZ/UFO‐UAP ACTIVITY/1704M/ALBUQUERQUE ARTCC ADVISED   USAF SWROD2, F35, LUF ‐ LUF, OBSERVED A UAP WHILE SOUTHBOUND AT FL190, 65 W LUF. NO EVASIVE ACTION REPORTED. LA PAZ COUNTY SHERIFF NOTIFIED AT 888‐818‐4911. WOC 7‐3333 JA/RL",3/9/2023 0:04,3/8/2023 17:04,‐07 MST,3/9/2023 0:28,"GLENDALE,AZ (LUF)",16.9496423,2AZ1,33.5298401,‐113.509364,669010,270,65,mi,65 W,
UFO‐UAP ACTIVITY,TN479AK UFO‐UAP ACTIVITY 03‐09‐2023,"PRELIM INFO FROM FAA OPS: PEDRO BAY, AK/UFO‐ UAP ACTIVITY/2029L/ANCHORAGE ARTCC ADVISED TN479AK, BEECH BE10, PTH ‐ MRI, REPORTED AN UNIDENTIFIED ILLUMINATED AERIAL PHENOMENON OF FROM THE LEFT SIDE WHILE NE BOUND AT 14,000 FEET VCNTY PEDRO BAY 59.30N/153.23W. PILOT IN COMMAND LOS CONTACT WITH OBJECT IN TWILIGHT. NO IMPACT TO NAS. NORAD ALASKA REGION  NOTIFIED. WOC 7‐3333",3/9/2023 5:00,3/8/2023 20:00,‐09 AKST,3/9/2023 6:02,"PEDRO BAY,AK",1.07372697,4K0,59.7890464,‐154.1034854,669060,0,0,mi,,"14,000
FEET"
UFO‐UAP ACTIVITY,OAE 573 UFO‐UAP ACTIVITY 03‐10‐2023,"PRELIM INFO FROM FAA OPS: NANTUCKET, MA/UFO‐ UAP ACTIVITY/0231E/BOSTON ARTCC ADVISED OMNI AIR INTL 573, B772, HOP ‐ SHANNON, IRELAND (EINN), REPORTED AN UNIDENTIFIED AERIAL PHENOMENON OF STATIONARY PULSATING LIGHTS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT FL330 70 NE ACK. NO EVASIVE ACTION TAKEN. NO IMPACT TO NAS. NO LEO NOTIFICATION. WOC 7‐3333 MC/RC",3/10/2023 7:14,3/10/2023 2:14,‐05 EST,3/10/2023 10:45,"NANTUCKET,MA (ACK)",49.8177134,CQX,41.9662109,‐69.09895334,669232,45,70,mi,70 NE,
UFO‐UAP ACTIVITY,VIR156T UFO‐UAP ACTIVITY 03‐10‐2023,"PRELIM INFO FROM FAA OPS: FORT DODGE, IA/UFO‐ UAP ACTIVITY/0300C/MINNEAPOLIS ARTCC ADVISED UNITED KINGDOM REGISTERED VIRGIN 156, B789, LAS ‐ LONDON, UNITED KINGDOM (EGLL), REPORTED AN UNIDENTIFIED AERIAL PHENOMENON OF 3 LIGHTS WITH VARIOUS BRIGHTNESS/INTENSITY FROM THE 11 O'CLOCK POSITION WHILE ENE BOUND AT FL370  VCNTY FORT DODGE. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION. MULTIPLE ACFT REPORTED   SIMILAR SIGHTINGS. WOC 7‐3333 RC/JA",3/10/2023 9:00,3/10/2023 3:00,‐06 CST,3/10/2023 11:06,"FORT DODGE,IA (FOD)",3.20E‐07,FOD,42.5511944,‐94.19183333,669237,0,0,mi,,
UFO‐UAP ACTIVITY,AAL421 UFO‐UAP ACTIVITY 03‐14‐2023,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UFO‐UAP
ACTIVITY/0423C/MEMPHIS ARTCC ADVISED AMERICAN 421, A321, LAS ‐ CLT, REPORTED SHINY WHITE OBJECT WITH AMBER HUE LIGHTS AT 11:30 POSITION WHILE S BOUND AT FL350 25 S BNA. UAP WAS REPORTED AS SIGNIFICANTLY HIGHER; EXACT ALTITUDE NOT REPORTED. WOC 7‐3333 EC/JB",3/14/2023 9:00,3/14/2023 4:00,‐05 CDT,3/14/2023 9:57,"NASHVILLE,TN (BNA)",2.20E‐07,BNA,36.124475,‐86.67818056,669819,0,0,mi,"25 S,33 E",
UFO‐UAP ACTIVITY,UFO‐UAP ACTIVITY (COS) 03‐21‐2023,"PRELIM INFO FROM FAA OPS: /UFO‐UAP
ACTIVITY/0324M/COLORADO SPRINGS ATCT REPORTED AN UNIDENTIFIED AERIAL PHENOMENON OF 2 FLASHING LIGHTS TRAVELING TOGETHER AT UNKN ALTITUDE 12 NE COS. NO TRAFFIC IN VCNTY. NO IMPACT TO NAS REPORTED. NO LEO NOTIFICATION. WOC 7‐3333 RC/RL",3/21/23 9:24,3/21/2023 3:24,‐06 MDT,3/21/2023 10:52,,1133.46689,FHAW,,,671002,,,,12 NE,2 F
UFO‐UAP ACTIVITY,SWA1307 UFO‐UAP ACTIVITY 03‐22‐2023,"PRELIM INFO FROM FAA OPS: LAWRENCEVILLE, VA/UFO‐UAP ACTIVITY/0009E/WASHINGTON ARTCC ADVISED SOUTHWEST 1307, B38M, RSW ‐ BWI, AIRCRAFT REPORTED AN UNIDENTIFIED AERIAL PHENOMENON ON LEFT SIDE OF AIRCRAFT WHILE N BOUND AT FL410 10 E OF LVL VORTAC. THE UNKNOWN PHENOMENON WAS DESCRIBED AS FLASHING LIGHTS ABOVE THEM  AT A DISTANCE OF 100 MILES. NO EVASIVE ACTION TAKEN. WOC 7‐3333 EC/TB",3/22/2023 4:15,3/22/2023 0:15,‐04 EDT,3/22/2023 4:24,"LAWRENCEVILLE,VA (LVL)",3.10495483,LVL,36.7576469,‐77.8469374,671166,0,0,mi,"10 E,33 E",
UFO‐UAP ACTIVITY,JTZ623 UFO‐UAP ACTIVITY 03‐26‐2023,"PRELIM INFO FROM FAA OPS: ORMOND BEACH, FL/UFO‐UAP ACTIVITY/1305E/DAYTONA BEACH ATCT ADVISED STEEL JET 623, BOMBARDIER CL30, SGJ ‐ UOX, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON AT 6,000 FEET 10 NE OMN. NO EVASIVE ACTION REPORTED. EVENT WAS DESCRIBED AS MAN OPERATING A JETPACK. VOLUSIA COUNTY SHERIFF NOTIFIED AT 386‐736‐5999. WOC 7‐3333 JB/JF",3/26/2023 17:05,3/26/2023 13:05,‐04 EDT,3/26/2023 19:01,"ORMOND BEACH,FL (OMN)",10.0000159,OMN,29.4037547,‐80.99655796,671909,45,10,mi,10 NE,"6,000
FEET"
UFO‐UAP ACTIVITY,FFT101 UFO‐UAP ACTIVITY 04‐08‐2023,"PRELIM INFO FROM FAA OPS: DUBLIN, GA/UFO‐UAP ACTIVITY/2356E/ATLANTA ARTCC ADVISED FRONTIER 101, A20N, SAN JUAN, PUERTO RICO (TJSJ) ‐ ATL, REPORTED INTERMITTENT WHITE LIGHTS MOVING 20 DEGREES LEFT AND RIGHT IN THE UPPER ATMOSPHERE WHILE NW BOUND AT FL380 VCNTY DBN. NO EVASIVE ACTION REPORTED. WOC 7‐3333 JG/JF",4/9/2023 3:56,4/8/2023 23:56,‐04 EDT,4/9/2023 4:57,"DUBLIN,GA (DBN)",1.80E‐07,DBN,32.5647222,‐82.98497222,674110,0,0,mi,,
UFO‐UAP ACTIVITY,TSC611 UFO‐UAP ACTIVITY 04‐10‐2023,"PRELIM INFO FROM FAA OPS: EAST HAMPTON, NY/UFO UAP ACTIVITY/0223E/NEW YORK ARTCC ADVISED CANADA REGISTERED AIR TRANSAT 611, A321, PUNTA CANA, DOMINICAN REPUBLIC (MDPC) ‐ QUEBEC CITY, CANADA (CYQB), OBSERVED RED AND WHITE LIGHTS ORBITING AT FL370 WHILE ACFT WAS NE BOUND AT FL350 46 SE HAMPTON VORTAC. WOC 7‐3333 HM/JO",4/10/2023 6:31,4/10/2023 2:31,‐04 EDT,4/10/2023 6:56,"EAST HAMPTON,NY",41.0633942,BID,40.578833,‐71.46857174,674241,125,46,mi,"70 W,46 SE",
UFO‐UAP ACTIVITY,SWG383 UFO‐UAP ACTIVITY 04‐10‐2023,"PRELIM INFO FROM FAA OPS: EAST HAMPTON, NY/UFO
UAP ACTIVITY/0225E/NEW YORK ARTCC ADVISED CANADA REGISTERED SUNWING 383, B738, HOLGUIN, CUBA (MUHG) ‐ HALIFAX, CANADA (CYHZ), OBSERVED RED AND WHITE LIGHTS ORBITING AT FL370 WHILE ACFT WAS NE BOUND AT FL350 46 SE HAMPTON VORTAC. WOC 7‐3333 HM/JO",4/10/2023 6:31,4/10/2023 2:31,‐04 EDT,4/10/2023 7:00,"EAST HAMPTON,NY",41.0633942,BID,40.578833,‐71.46857174,674242,125,46,mi,"70 W,46 SE",
UFO‐UAP ACTIVITY,UPS49 UFO‐UAP ACTIVITY 04‐10‐2023,"PRELIM INFO FROM FAA OPS: SAINT PAUL ISLAND,
AK/UFO‐UAP ACTIVITY/0308L/ANCHORAGE ARTCC ADVISED UPS 49, B763, SEOUL, SOUTH KOREA (RKSI) ‐ ANC, REPORTED A BRIGHT WHITE LIGHT UNIDENTIFIED AERIAL PHENOMENON FROM ABOVE THE LEFT SIDE WHILE ENE BOUND AT FL350 148 NW ST PAUL ISLAND NAVAID. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION. AMERIJET 1020 REPORTED SIMILAR SIGHTING. EVENT CONSISTENT WITH SKYLINK SATELLITES TRAVELING OVER VCNTY ALASKA. WOC 7‐ 3333 RC/JA",4/10/2023 10:20,4/10/2023 0:20,‐10 HST,4/10/2023 11:42,"SAINT PAUL ISLAND,AK",147.428246,SNP,58.6006998,‐173.180369,674251,315,148,mi,48 NW,
UFO‐UAP ACTIVITY,FFT1024 UFO‐UAP ACTIVITY 04‐14‐2023,"PRELIM INFO FROM FAA OPS: MACON, GA/UFO‐UAP ACTIVITY/0052E/ATLANTA ARTCC ADVISED FRONTIER 1024, A20N, MCO ‐ MDW, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON BETWEEN FL380 AND FL420 WHILE NNW BOUND AT FL380 20 S MCN. NO EVASIVE ACTION REPORTED. EVENT WAS DESCRIBED AS TWO OR THREE WHITE BLOOMING LIGHTS ESTIMATED OVER TENNESSEE. LEO
NOTIFICATION NOT REPORTED. WOC 7‐3333 JW/TB",4/14/2023 4:52,4/14/2023 0:52,‐04 EDT,4/14/2023 7:30,"MACON,GA (MCN)",10.1484089,PXE,32.4025901,‐83.64922222,675057,180,20,mi,"20 W,20 S",
UFO‐UAP ACTIVITY,SWG615 UFO‐UAP ACTIVITY 04‐15‐2023,"PRELIM INFO FROM FAA OPS: SAVANNAH, GA/UFO‐ UAP ACTIVITY/0005E/JACKSONVILLE ARTCC ADVISED CANADA REGISTERED SUNWING 615, B38M, CAYO LARGO DEL SUR, CUBA (MUCL) ‐ QUEBEC, CANADA (CYUL), REPORTED AN UNIDENTIFIED AERIAL PHENOMENON 10‐15 MILES FROM THE 12 O'CLOCK POSITION WHILE NNE BOUND AT FL370 40 E SAV. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION REPORTED. PHENOMENON WAS 3 LIGHTS FLASHING ON AND OFF AND MOVING ABOVE A THUNDERSTORM. WOC 7‐3333 MO/TB",4/15/2023 4:05,4/15/2023 0:05,‐04 EDT,4/15/2023 7:12,"SAVANNAH,GA (SAV)",12.4275799,HXD,32.1257454,‐80.5199471,675249,90,40,mi,40 E,
UFO‐UAP ACTIVITY,ACA1091 UFO‐UAP ACTIVITY 04‐16‐2023,"PRELIM INFO FROM FAA OPS: ELKINS, WV/UFO‐UAP ACTIVITY/LATE REPORT‐0001E/WASHINGTON ARTCC ADVISED AIR CANADA 1091, A333, MCO ‐ TORONTO, CANADA (CYYZ), REPORTED AN UNIDENTIFIED AERIAL PHENOMENON OFF THE LEFT SIDE WHILE N BOUND AT FL390 35 S EKN. PHENOMENON WAS 3 TO 5 FLASHING LIGHTS WELL ABOVE FL390 AND WAS REPORTED BY ADDITIONAL ACFT. NO LEO NOTIFICATION REPORTED. WOC 7‐3333 MO/HM",4/16/2023 9:05,4/16/2023 5:05,‐04 EDT,4/16/2023 9:13,"ELKINS,WV (EKN)",3.76620867,WV52,38.3820317,‐79.85713889,675397,180,35,mi,35 S,5 F
UFO‐UAP ACTIVITY,FFT1164 UFO‐UAP ACTIVITY 04‐17‐2023,"PRELIM INFO FROM FAA OPS: SOUTHERN PINES, NC/UFO‐UAP ACTIVITY/0030E/WASHINGTON ARTCC ADVISED FRONTIER 1164, A321, MCO ‐ PHL, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON OFF THE LEFT SIDE WHILE NE BOUND AT FL350 14 S SANDHILLS VOR (SDZ). PHENOMENON WAS TWO INTERMITTENT FLASHING LIGHTS TRAVELING SE BOUND AT FL350. NO LEO NOTIFICATION REPORTED. WOC 7‐3333 MC/JW",4/17/2023 5:06,4/17/2023 1:06,‐04 EDT,4/17/2023 5:24,"SOUTHERN PINES,NC",5.63212092,94NC,34.9740379,‐79.34940936,675528,170,14,mi,14 S,
UFO‐UAP ACTIVITY,DAL1508 UFO‐UAP ACTIVITY 04‐18‐2023,"PRELIM INFO FROM FAA OPS: LUFKIN, TX/UFO‐UAP ACTIVITY/0025C/HOUSTON ARTCC ADVISED DELTA 1508, A321, ATL ‐ SAT, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON WITH 4‐5 RED AND WHITE LIGHTS OFF OF THE RIGHT SIDE OF THE ACFT WHILE W BOUND AT FL320 50 SE LFK. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED. WOC 7‐
3333 JO/JW",4/18/2023 5:25,4/18/2023 0:25,‐05 CDT,4/18/2023 6:50,"LUFKIN,TX (LFK)",13.5259801,JAS,30.719446,‐94.15596258,675721,135,50,mi,50 SE,
UFO‐UAP ACTIVITY,BYA584 UFO‐UAP ACTIVITY 04‐19‐2023,"PRELIM INFO FROM FAA OPS: TEXARKANA, AR/UFO‐ UAP ACTIVITY/0055C/MEMPHIS ARTCC ADVISED BERRY AVIATION 584, E120, HYI ‐ LAF, REPORTED AN UNIDENTIFIED AERIAL PHENOMENON WHILE NE BOUND AT FL270 40 N TXK. NO EVASIVE ACTION TAKEN. PHENOMENON WAS 2 GLOWING AND PULSING ORBS THAT QUICKLY DISAPPEARED. LEO NOTIFICATION
NOT REPORTED. WOC 7‐3333 JO/MC",4/19/2023 5:55,4/19/2023 0:55,‐05 CDT,4/19/2023 6:25,"TEXARKANA,AR (TXK)",9.1392602,M77,34.0340971,‐93.99102778,675925,0,40,mi,40 N,
UFO‐UAP ACTIVITY,N781CW UFO‐UAP ACTIVITY 04‐22‐2023,"PRELIM INFO FROM FAA OPS: FORT STOCKTON, TX/UFO‐UAP ACTIVITY/1820C/ALBUQUERQUE ARTCC ADVISED N781CW, CIRRUS SR22, GTU ‐ DNA, REPORTED A WHITE UNIDENTIFIED AERIAL PHENOMENON WHILE W BOUND AT 14,000 FEET 24 NW FST. NO EVASIVE ACTION TAKEN. LEO
NOTIFICATION NOT REPORTED. WOC 7‐3333 TB/JF",4/22/2023 22:59,4/22/2023 17:59,‐05 CDT,4/22/2023 23:45,"FORT STOCKTON,TX (FST)",23.912627,PEQ,31.1612709,‐103.1992322,677594,315,24,mi,24 NW,"14,000
FEET"
UFO‐UAP ACTIVITY,N5245K UFO‐UAP ACTIVITY 04‐25‐2023,"PRELIM INFO FROM FAA OPS: PENSACOLA, FL/UFO‐ UAP ACTIVITY/0856C/PENSACOLA TRACON ADVISED N5245K, CESSNA C172, REPORTED A UNIDENTIFIED AERIAL PHENOMENON WHILE SE BOUND AT 1,500 FEET 15 NW PNS. PILOT REPORTED PHENOMENON AS TWO BASKETBALL SIZED BALLOONS WITH WIRES. FOLLOWING ACFT DID NOT OBSERVE UAP. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.
WOC 7‐3333 TJ/DJ",4/25/2023 13:56,4/25/2023 8:56,‐05 CDT,4/25/2023 15:09,"PENSACOLA,FL",4.01935869,PNS,30.421309,‐87.2169149,677996,0,0,mi,15 NW,"1,500
FEET"
UFO‐UAP ACTIVITY,N899SC UFO‐UAP ACTIVITY 04‐27‐2023,"PRELIM INFO FROM FAA OPS: GILA BEND, AZ/UFO‐UAP
ACTIVITY/1110M/ALBUQUERQUE ARTCC ADVISED N899SC, GULFSTREAM G280, SNA ‐ HOU, REPORTED A WHITE OVAL SHAPED UNIDENTIFIED AERIAL PHENOMENON FROM THE 12 O'CLOCK POSITION WHILE E BOUND AT FL430 20 W GILA BEND VOR. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION REPORTED. WOC 7‐3333 TB/JB",4/27/2023 19:30,4/27/2023 12:30,‐07 MST,4/27/2023 19:53,"GILA BEND,AZ",5.52039016,0AZ4,32.9473495,‐112.3726165,678416,90,20,mi,20 W,
